商品编码,条码,计量单位,商品名称,分类名称,品牌名称,基础价,建议零售价,市场零售价,预警库存,重量(g),商品描述,状态,启用规格,SKU编码,规格组合,SKU价格,SKU库存,SKU会员价,启用SKU会员价
P000130001,6901234567890,盒,蕾丝连体内衣,女士内衣,,99.00,129.00,119.00,10,200,性感蕾丝设计，舒适透气,上架,是,P000130001-1,颜色:红色,99.00,50,,否
P000130001,6901234567890,盒,蕾丝连体内衣,女士内衣,,99.00,129.00,119.00,10,200,性感蕾丝设计，舒适透气,上架,是,P000130001-2,颜色:黑色,99.00,60,,否
P000130001,6901234567890,盒,蕾丝连体内衣,女士内衣,,99.00,129.00,119.00,10,200,性感蕾丝设计，舒适透气,上架,是,P000130001-3,颜色:白色,89.00,40,,否
P000130002,6901234567891,件,性感丁字裤,女士内衣,,58.00,79.00,69.00,10,50,舒适面料，多色可选,上架,否,,,,58.00,100,,否
P000130003,6901234567892,套,护士角色扮演套装,情趣套装,,128.00,168.00,158.00,10,350,高品质面料，含配饰,上架,是,P000130003-1,颜色:白色;尺寸:S,128.00,20,,否
P000130003,6901234567892,套,护士角色扮演套装,情趣套装,,128.00,168.00,158.00,10,350,高品质面料，含配饰,上架,是,P000130003-2,颜色:白色;尺寸:M,128.00,30,,否
P000130003,6901234567892,套,护士角色扮演套装,情趣套装,,128.00,168.00,158.00,10,350,高品质面料，含配饰,上架,是,P000130003-3,颜色:白色;尺寸:L,128.00,25,,否
P000130003,6901234567892,套,护士角色扮演套装,情趣套装,,128.00,168.00,158.00,10,350,高品质面料，含配饰,上架,是,P000130003-4,颜色:粉色;尺寸:S,138.00,15,,否
P000130003,6901234567892,套,护士角色扮演套装,情趣套装,,128.00,168.00,158.00,10,350,高品质面料，含配饰,上架,是,P000130003-5,颜色:粉色;尺寸:M,138.00,20,,否
P000130003,6901234567892,套,护士角色扮演套装,情趣套装,,128.00,168.00,158.00,10,350,高品质面料，含配饰,上架,是,P000130003-6,颜色:粉色;尺寸:L,138.00,18,,否
P000130004,6901234567893,条,男士四角内裤,男士内衣,,45.00,59.00,55.00,10,80,纯棉透气，舒适贴身,上架,是,P000130004-1,颜色:黑色;尺寸:M,45.00,50,,否
P000130004,6901234567893,条,男士四角内裤,男士内衣,,45.00,59.00,55.00,10,80,纯棉透气，舒适贴身,上架,是,P000130004-2,颜色:黑色;尺寸:L,45.00,60,,否
P000130004,6901234567893,条,男士四角内裤,男士内衣,,45.00,59.00,55.00,10,80,纯棉透气，舒适贴身,上架,是,P000130004-3,颜色:灰色;尺寸:M,45.00,40,,否
P000130004,6901234567893,条,男士四角内裤,男士内衣,,45.00,59.00,55.00,10,80,纯棉透气，舒适贴身,上架,是,P000130004-4,颜色:灰色;尺寸:L,45.00,45,,否
P000130005,6901234567894,瓶,情趣润滑液,护理用品,,38.00,49.00,45.00,20,150,水溶性配方，安全温和,上架,否,,,,38.00,200,,否
